Target,Fold,Group,PC,Variable,Loading
ZOTUs,1,Organic,PC1,N,0.5354418262200475
ZOTUs,1,Organic,PC1,C,0.5319970148029411
ZOTUs,1,Organic,PC1,S1,0.5331801971402731
ZOTUs,1,Organic,PC1,P,-0.09936515224806819
ZOTUs,1,Organic,PC1,S2,0.12333518456398324
ZOTUs,1,Organic,PC1,Cl,0.12498219632254107
ZOTUs,1,Organic,PC2,Chlorophyll a,0.3943870289738586
ZOTUs,1,Organic,PC2,Depth,-0.3319393813975406
ZOTUs,1,Organic,PC2,N,-0.14797861383917518
ZOTUs,1,Organic,PC2,C,-0.1083532293306269
ZOTUs,1,Organic,PC2,S1,0.04382352864189701
ZOTUs,1,Organic,PC2,P,-0.01072570519303052
ZOTUs,1,Organic,PC2,S2,0.689399443593757
ZOTUs,1,Organic,PC2,Cl,0.4725779202973369
ZOTUs,2,Sediment,PC1,Grain Size,0.3360397191254575
ZOTUs,2,Sediment,PC1,Sorting,0.4764583086505447
ZOTUs,2,Sediment,PC1,Skewness,-0.4702400285836558
ZOTUs,2,Sediment,PC1,Kurtosis,-0.47492334820956994
ZOTUs,2,Sediment,PC1,Clay Content,0.204706876359081
ZOTUs,2,Sediment,PC1,Silt Content,-0.2984367799788121
ZOTUs,2,Sediment,PC1,Sand Content,0.28708448104728046
ZOTUs,2,Sediment,PC2,Grain Size,-0.46403350785694114
ZOTUs,2,Sediment,PC2,Sorting,-0.04517294779165382
ZOTUs,2,Sediment,PC2,Skewness,0.008949146057429441
ZOTUs,2,Sediment,PC2,Kurtosis,-0.08107361903370691
ZOTUs,2,Sediment,PC2,Clay Content,0.5886035610834419
ZOTUs,2,Sediment,PC2,Silt Content,-0.49221999437957437
ZOTUs,2,Sediment,PC2,Sand Content,-0.4327177075973171
ZOTUs,2,Major,PC1,Na2O,0.2706190560552498
ZOTUs,2,Major,PC1,MgO,0.23509633347159525
ZOTUs,2,Major,PC1,Al2O3,0.4644627171605551
ZOTUs,2,Major,PC1,SiO2,-0.34549426832117136
