Target,Fold,Model,Feature,MeanAbsSHAP
Rotaliida,0,XGBoost,Major_PC1,6214.2294921875
Rotaliida,0,XGBoost,Major_PC2,39.08478927612305
Rotaliida,0,XGBoost,Trace_PC1,1241.144287109375
Rotaliida,0,XGBoost,Trace_PC2,659.0108032226562
Rotaliida,0,XGBoost,Organic_PC1,61.51615905761719
Rotaliida,0,XGBoost,Organic_PC2,2234.765625
Rotaliida,0,RF,Sediment_PC1,350.93389644846695
Rotaliida,0,RF,Sediment_PC2,113.81132146834315
Rotaliida,0,RF,Major_PC1,1373.8227220412484
Rotaliida,0,RF,Major_PC2,1524.8969039338094
Rotaliida,0,RF,Trace_PC1,520.7337740457905
Rotaliida,0,RF,Trace_PC2,382.2440942404466
Rotaliida,0,RF,Organic_PC1,1016.1618194537285
Rotaliida,0,RF,Organic_PC2,1462.7200279192004
Rotaliida,0,LightGBM,Sediment_PC1,0.0
Rotaliida,0,LightGBM,Sediment_PC2,0.0
Rotaliida,0,LightGBM,Major_PC1,0.0
Rotaliida,0,LightGBM,Major_PC2,0.0
Rotaliida,0,LightGBM,Trace_PC1,0.0
Rotaliida,0,LightGBM,Trace_PC2,0.0
Rotaliida,0,LightGBM,Organic_PC1,0.0
Rotaliida,0,LightGBM,Organic_PC2,0.0
Rotaliida,1,XGBoost,Sediment_PC1,1924.5159912109375
Rotaliida,1,XGBoost,Sediment_PC2,605.140869140625
Rotaliida,1,XGBoost,Major_PC1,228.67276000976562
Rotaliida,1,XGBoost,Major_PC2,381.6616516113281
Rotaliida,1,XGBoost,Trace_PC1,606.0701904296875
Rotaliida,1,XGBoost,Trace_PC2,1290.940673828125
Rotaliida,1,XGBoost,Organic_PC1,422.2915954589844
Rotaliida,1,XGBoost,Organic_PC2,302.08660888671875
Rotaliida,1,RF,Sediment_PC1,1544.7031469312979
Rotaliida,1,RF,Sediment_PC2,343.2335633436039
Rotaliida,1,RF,Major_PC1,272.22232066115004
Rotaliida,1,RF,Major_PC2,234.16879625441217
Rotaliida,1,RF,Trace_PC1,820.6943999391929
Rotaliida,1,RF,Trace_PC2,1223.9621368420414
Rotaliida,1,RF,Organic_PC1,551.5955674880475
Rotaliida,1,RF,Organic_PC2,121.04540059104198
Rotaliida,1,LightGBM,Sediment_PC1,0.0
Rotaliida,1,LightGBM,Sediment_PC2,0.0
Rotaliida,1,LightGBM,Major_PC1,0.0
Rotaliida,1,LightGBM,Major_PC2,0.0
Rotaliida,1,LightGBM,Trace_PC1,0.0
Rotaliida,1,LightGBM,Trace_PC2,0.0
Rotaliida,1,LightGBM,Organic_PC1,0.0
Rotaliida,1,LightGBM,Organic_PC2,0.0
Rotaliida,2,XGBoost,Sediment_PC1,523.3984985351562
Rotaliida,2,XGBoost,Sediment_PC2,293.919921875
Rotaliida,2,XGBoost,Major_PC1,2738.551025390625
Rotaliida,2,XGBoost,Major_PC2,558.36083984375
Rotaliida,2,XGBoost,Trace_PC1,1554.4742431640625
Rotaliida,2,XGBoost,Trace_PC2,561.010986328125
Rotaliida,2,XGBoost,Organic_PC1,455.36517333984375
Rotaliida,2,XGBoost,Organic_PC2,793.5785522460938
Rotaliida,2,RF,Sediment_PC1,584.3599484484865
Rotaliida,2,RF,Sediment_PC2,62.01583902567536
Rotaliida,2,RF,Major_PC1,849.1658914021572
Rotaliida,2,RF,Major_PC2,684.167721117664
Rotaliida,2,RF,Trace_PC1,663.0062632399291
Rotaliida,2,RF,Trace_PC2,276.8364913841988
Rotaliida,2,RF,Organic_PC1,54.787420975567166
Rotaliida,2,RF,Organic_PC2,1037.8334567192676
Rotaliida,2,LightGBM,Sediment_PC1,3263.3467443581344
Rotaliida,2,LightGBM,Sediment_PC2,1097.003773830484
Rotaliida,2,LightGBM,Major_PC1,0.0
Rotaliida,2,LightGBM,Major_PC2,827.3924362027553
Rotaliida,2,LightGBM,Trace_PC1,329.2427268923672
Rotaliida,2,LightGBM,Trace_PC2,1688.3478991040954
Rotaliida,2,LightGBM,Organic_PC1,0.0
Rotaliida,2,LightGBM,Organic_PC2,637.4188543112513
Textulariida,0,XGBoost,Sediment_PC1,9.793478012084961
Textulariida,0,XGBoost,Sediment_PC2,5.786269664764404
Textulariida,0,XGBoost,Major_PC1,65.5900650024414
Textulariida,0,XGBoost,Major_PC2,9.218586921691895
Textulariida,0,XGBoost,Trace_PC1,4.546006202697754
Textulariida,0,XGBoost,Trace_PC2,249.07908630371094
Textulariida,0,XGBoost,Organic_PC1,3.9063773155212402
Textulariida,0,XGBoost,Organic_PC2,21.354013442993164
Textulariida,0,RF,Sediment_PC1,1.972795600617285
Textulariida,0,RF,Sediment_PC2,5.170860015729233
Textulariida,0,RF,Major_PC1,17.147188520337163
Textulariida,0,RF,Major_PC2,13.78256719565682
Textulariida,0,RF,Trace_PC1,19.574433140634593
Textulariida,0,RF,Trace_PC2,194.1526279411926
Textulariida,0,RF,Organic_PC1,12.612479782526623
Textulariida,0,RF,Organic_PC2,13.680270364995462
Textulariida,0,LightGBM,Sediment_PC1,0.0
Textulariida,0,LightGBM,Sediment_PC2,0.0
Textulariida,0,LightGBM,Major_PC1,0.0
Textulariida,0,LightGBM,Major_PC2,0.0
Textulariida,0,LightGBM,Trace_PC1,0.0
Textulariida,0,LightGBM,Trace_PC2,0.0
Textulariida,0,LightGBM,Organic_PC1,0.0
Textulariida,0,LightGBM,Organic_PC2,0.0
Textulariida,1,XGBoost,Sediment_PC1,33.883792877197266
Textulariida,1,XGBoost,Sediment_PC2,7.219633102416992
Textulariida,1,XGBoost,Major_PC1,15.497568130493164
Textulariida,1,XGBoost,Major_PC2,2.2314577102661133
Textulariida,1,XGBoost,Trace_PC1,4.455152988433838
Textulariida,1,XGBoost,Trace_PC2,32.44704818725586
Textulariida,1,XGBoost,Organic_PC1,9.172128677368164
Textulariida,1,XGBoost,Organic_PC2,4.026691436767578
Textulariida,1,RF,Sediment_PC1,5.93337363596147
Textulariida,1,RF,Sediment_PC2,2.751211038096783
Textulariida,1,RF,Major_PC1,12.515522122676947
Textulariida,1,RF,Major_PC2,1.3306590131187788
Textulariida,1,RF,Trace_PC1,14.84383528103602
Textulariida,1,RF,Trace_PC2,24.86543928532176
Textulariida,1,RF,Organic_PC1,4.000377837157456
Textulariida,1,RF,Organic_PC2,2.8364579818130355
Textulariida,1,LightGBM,Sediment_PC1,0.0
Textulariida,1,LightGBM,Sediment_PC2,0.0
Textulariida,1,LightGBM,Major_PC1,0.0
Textulariida,1,LightGBM,Major_PC2,0.0
Textulariida,1,LightGBM,Trace_PC1,0.0
Textulariida,1,LightGBM,Trace_PC2,0.0
Textulariida,1,LightGBM,Organic_PC1,0.0
Textulariida,1,LightGBM,Organic_PC2,0.0
Textulariida,2,XGBoost,Sediment_PC1,74.81914520263672
Textulariida,2,XGBoost,Sediment_PC2,5.249120235443115
Textulariida,2,XGBoost,Major_PC1,85.35662841796875
Textulariida,2,XGBoost,Major_PC2,5.629151344299316
Textulariida,2,XGBoost,Trace_PC1,28.0493106842041
Textulariida,2,XGBoost,Trace_PC2,5.140647888183594
Textulariida,2,XGBoost,Organic_PC1,17.696182250976562
Textulariida,2,XGBoost,Organic_PC2,11.610054969787598
Textulariida,2,RF,Sediment_PC1,7.264022616386065
Textulariida,2,RF,Sediment_PC2,1.2634033742090403
Textulariida,2,RF,Major_PC1,94.92324657661923
Textulariida,2,RF,Major_PC2,7.048261040705758
Textulariida,2,RF,Trace_PC1,17.35945323842538
Textulariida,2,RF,Trace_PC2,11.575221858895787
Textulariida,2,RF,Organic_PC1,1.4441888717444233
Textulariida,2,RF,Organic_PC2,11.109355117057484
Textulariida,2,LightGBM,Sediment_PC1,0.0
Textulariida,2,LightGBM,Sediment_PC2,11.020567499464851
Textulariida,2,LightGBM,Major_PC1,0.0
Textulariida,2,LightGBM,Major_PC2,46.03563654253844
Textulariida,2,LightGBM,Trace_PC1,17.358761358000717
Textulariida,2,LightGBM,Trace_PC2,56.122590886172716
Textulariida,2,LightGBM,Organic_PC1,39.463830284118174
Textulariida,2,LightGBM,Organic_PC2,12.226499528655399
Monothalamida,0,XGBoost,Sediment_PC1,2273.465576171875
Monothalamida,0,XGBoost,Sediment_PC2,1200.0325927734375
Monothalamida,0,XGBoost,Major_PC1,11946.099609375
Monothalamida,0,XGBoost,Major_PC2,187.64402770996094
Monothalamida,0,XGBoost,Trace_PC1,294.45013427734375
Monothalamida,0,XGBoost,Trace_PC2,8100.41650390625
Monothalamida,0,XGBoost,Organic_PC1,223.20021057128906
Monothalamida,0,XGBoost,Organic_PC2,36.95527267456055
Monothalamida,0,RF,Sediment_PC1,1225.9981018991705
Monothalamida,0,RF,Sediment_PC2,387.50835694993276
Monothalamida,0,RF,Major_PC1,2575.8101468452464
Monothalamida,0,RF,Major_PC2,2952.001425903261
Monothalamida,0,RF,Trace_PC1,1876.4872022404868
Monothalamida,0,RF,Trace_PC2,3703.3812171447075
Monothalamida,0,RF,Organic_PC1,3156.512388395528
Monothalamida,0,RF,Organic_PC2,1697.543627798487
Monothalamida,0,LightGBM,Sediment_PC1,0.0
Monothalamida,0,LightGBM,Sediment_PC2,0.0
Monothalamida,0,LightGBM,Major_PC1,0.0
Monothalamida,0,LightGBM,Major_PC2,0.0
Monothalamida,0,LightGBM,Trace_PC1,0.0
Monothalamida,0,LightGBM,Trace_PC2,0.0
Monothalamida,0,LightGBM,Organic_PC1,0.0
Monothalamida,0,LightGBM,Organic_PC2,0.0
Monothalamida,1,XGBoost,Sediment_PC1,5625.49072265625
Monothalamida,1,XGBoost,Sediment_PC2,365.0110168457031
Monothalamida,1,XGBoost,Major_PC1,305.90679931640625
Monothalamida,1,XGBoost,Major_PC2,395.8759765625
Monothalamida,1,XGBoost,Trace_PC1,577.6460571289062
Monothalamida,1,XGBoost,Trace_PC2,6052.99267578125
Monothalamida,1,XGBoost,Organic_PC1,1099.5130615234375
Monothalamida,1,XGBoost,Organic_PC2,477.19012451171875
Monothalamida,1,RF,Sediment_PC1,1512.0249374017073
Monothalamida,1,RF,Sediment_PC2,120.9380189813183
Monothalamida,1,RF,Major_PC1,817.8867998929968
Monothalamida,1,RF,Major_PC2,155.04514209208412
Monothalamida,1,RF,Trace_PC1,2327.1569439857335
Monothalamida,1,RF,Trace_PC2,4087.0638638910054
Monothalamida,1,RF,Organic_PC1,1081.9876420774558
Monothalamida,1,RF,Organic_PC2,505.9827925574735
Monothalamida,1,LightGBM,Sediment_PC1,0.0
Monothalamida,1,LightGBM,Sediment_PC2,0.0
Monothalamida,1,LightGBM,Major_PC1,0.0
Monothalamida,1,LightGBM,Major_PC2,0.0
Monothalamida,1,LightGBM,Trace_PC1,0.0
Monothalamida,1,LightGBM,Trace_PC2,0.0
Monothalamida,1,LightGBM,Organic_PC1,0.0
Monothalamida,1,LightGBM,Organic_PC2,0.0
Monothalamida,2,XGBoost,Sediment_PC1,2702.09033203125
Monothalamida,2,XGBoost,Sediment_PC2,1082.8218994140625
Monothalamida,2,XGBoost,Major_PC1,4029.851318359375
Monothalamida,2,XGBoost,Major_PC2,964.5771484375
Monothalamida,2,XGBoost,Trace_PC1,6078.0712890625
Monothalamida,2,XGBoost,Trace_PC2,408.3587341308594
Monothalamida,2,XGBoost,Organic_PC1,1177.9327392578125
Monothalamida,2,XGBoost,Organic_PC2,640.478515625
Monothalamida,2,RF,Sediment_PC1,1806.9264672532486
Monothalamida,2,RF,Sediment_PC2,312.9973248199858
Monothalamida,2,RF,Major_PC1,3155.9312922698955
Monothalamida,2,RF,Major_PC2,1039.6286846787743
Monothalamida,2,RF,Trace_PC1,3091.82756779608
Monothalamida,2,RF,Trace_PC2,764.7846926096865
Monothalamida,2,RF,Organic_PC1,348.00574197765366
Monothalamida,2,RF,Organic_PC2,1716.1845582573822
Monothalamida,2,LightGBM,Sediment_PC1,6507.370144730421
Monothalamida,2,LightGBM,Sediment_PC2,1193.3850704724114
Monothalamida,2,LightGBM,Major_PC1,0.0
Monothalamida,2,LightGBM,Major_PC2,1511.541541653754
Monothalamida,2,LightGBM,Trace_PC1,0.0
Monothalamida,2,LightGBM,Trace_PC2,5579.518523855098
Monothalamida,2,LightGBM,Organic_PC1,648.1689318727653
Monothalamida,2,LightGBM,Organic_PC2,0.0
Miliolida,0,XGBoost,Sediment_PC1,2.4274094104766846
Miliolida,0,XGBoost,Sediment_PC2,2.680131435394287
Miliolida,0,XGBoost,Major_PC1,48.34385681152344
